Ruinas,Up,Get,Tue Nov 12 01:30:46 2013
Ruinas,Up,Get,Tue Nov 12 01:30:48 2013
RoL,Up,Get,Tue Nov 12 01:30:48 2013
RoLO,Up,Get,Tue Nov 12 01:30:48 2013
RoLC,Up,Get,Tue Nov 12 01:30:49 2013
th123,Up,Get,Tue Nov 12 01:30:49 2013
th135,Up,Get,Tue Nov 12 01:30:50 2013
katamichi,Up,Get,Tue Nov 12 01:30:50 2013
config,Up,Get,Tue Nov 12 01:30:50 2013
RoLC,Up,Get,Tue Nov 12 01:39:59 2013
RoL,Up,Get,Tue Nov 12 01:40:01 2013
Ruinas,Up,Get,Tue Nov 12 01:40:03 2013
RoL,Up,Get,Tue Nov 12 01:40:03 2013
RoLO,Up,Get,Tue Nov 12 01:40:03 2013
RoLC,Up,Get,Tue Nov 12 01:40:04 2013
th123,Up,Get,Tue Nov 12 01:40:05 2013
th135,Up,Get,Tue Nov 12 01:40:05 2013
katamichi,Up,Get,Tue Nov 12 01:40:05 2013
config,Up,Get,Tue Nov 12 01:40:06 2013
Ruinas,Up,Get,Tue Nov 12 01:46:20 2013
RoL,Up,Get,Tue Nov 12 01:46:21 2013
RoLO,Up,Get,Tue Nov 12 01:46:21 2013
RoLC,Up,Get,Tue Nov 12 01:46:21 2013
th123,Up,Get,Tue Nov 12 01:46:22 2013
th135,Up,Get,Tue Nov 12 01:46:22 2013
katamichi,Up,Get,Tue Nov 12 01:46:22 2013
config,Up,Get,Tue Nov 12 01:46:23 2013
Ruinas,Up,Get,Thu Nov 14 03:25:08 2013
RoL,Up,Get,Thu Nov 14 03:25:08 2013
RoLO,Up,Get,Thu Nov 14 03:25:09 2013
RoLC,Up,Get,Thu Nov 14 03:25:10 2013
th123,Up,Get,Thu Nov 14 03:25:14 2013
th135,Up,Get,Thu Nov 14 03:25:14 2013
katamichi,Up,Get,Thu Nov 14 03:25:14 2013
config,Up,Get,Thu Nov 14 03:25:15 2013
Ruinas,Up,Get,Thu Nov 14 11:40:29 2013
RoL,Up,Get,Thu Nov 14 11:40:30 2013
RoLO,Up,Get,Thu Nov 14 11:40:30 2013
RoLC,Up,Get,Thu Nov 14 11:40:31 2013
th123,Up,Get,Thu Nov 14 11:40:33 2013
th135,Up,Get,Thu Nov 14 11:40:33 2013
katamichi,Up,Get,Thu Nov 14 11:40:34 2013
config,Up,Get,Thu Nov 14 11:40:34 2013
All,Up,Get,Thu Nov 14 19:54:16 2013
Ruinas,Up,Get,Thu Nov 14 19:54:36 2013
katamichi,Down,Get,Thu Nov 14 19:54:45 2013
All,Up,Get,Fri Nov 15 07:36:41 2013
config,Down,Lab,Fri Nov 15 09:47:14 2013
MGL,Up,Lab,Fri Nov 15 09:47:32 2013
config,Up,Lab,Fri Nov 15 11:18:54 2013
All,Up,Lab,Fri Nov 15 17:44:16 2013
All,Up,Get,Sat Nov 16 05:07:11 2013
All,Up,Get,Sat Nov 16 15:40:33 2013
All,Up,Get,Sat Nov 16 15:42:26 2013
MGL,Up,Get,Sat Nov 16 15:43:13 2013
All,Up,Get,Mon Nov 18 09:24:18 2013
All,Down,Lab,Mon Nov 18 14:08:06 2013
All,Up,Get,Tue Nov 19 01:26:17 2013
All,Down,Lab,Wed Nov 20 10:08:58 2013
All,Up,Get,Thu Nov 21 10:53:24 2013
All,Up,Get,Fri Nov 22 01:47:03 2013
All,Up,Get,Fri Nov 22 07:27:14 2013
All,Down,Lab,Fri Nov 22 12:12:54 2013
All,Up,Lab,Fri Nov 22 12:13:17 2013
All,Up,Lab,Fri Nov 22 12:25:09 2013
All,Down,Get,Sat Nov 23 12:19:42 2013
All,Up,Get,Sun Nov 24 09:36:26 2013
All,Up,Get,Mon Nov 25 02:21:39 2013
All,Up,Get,Mon Nov 25 09:28:58 2013
All,Up,Get,Tue Nov 26 00:43:30 2013
config,Down,Lab,Tue Nov 26 11:07:22 2013
All,Up,Lab,Tue Nov 26 11:07:43 2013
All,Down,Get,Wed Nov 27 04:06:31 2013
All,Up,Get,Wed Nov 27 09:21:43 2013
All,Down,Get,Wed Nov 27 18:21:03 2013
All,Up,Get,Thu Nov 28 01:44:59 2013
All,Up,Get,Thu Nov 28 11:39:36 2013
All,Down,Lab,Thu Nov 28 15:16:08 2013
All,Up,Lab,Thu Nov 28 15:16:45 2013
All,Down,Get,Thu Nov 28 22:38:10 2013
All,Up,Get,Fri Nov 29 07:19:53 2013
All,Down,Lab,Fri Nov 29 10:32:47 2013
All,Up,Lab,Fri Nov 29 16:04:15 2013
All,Up,Lab,Fri Nov 29 17:50:15 2013
All,Down,Get,Sun Dec 01 12:45:27 2013
All,Up,Get,Sun Dec 01 12:45:36 2013
All,Up,Get,Tue Dec 03 10:53:50 2013
All,Down,Lab,Tue Dec 03 10:57:31 2013
All,Up,Lab,Tue Dec 03 11:10:17 2013
All,Down,Get,Wed Dec 04 23:24:36 2013
All,Down,Get,Wed Dec 04 23:24:48 2013
All,Up,Get,Thu Dec 05 11:29:07 2013
All,Up,Get,Fri Dec 06 00:08:38 2013
All,Up,Get,Fri Dec 06 10:35:50 2013
All,Down,Lab,Fri Dec 06 14:34:31 2013
MGL,Up,Lab,Fri Dec 06 14:35:44 2013
All,Down,Lab,Mon Dec 09 13:05:49 2013
All,Up,Get,Mon Dec 09 23:50:18 2013
All,Down,Lab,Tue Dec 10 10:57:30 2013
All,Up,Get,Tue Dec 10 11:04:14 2013
All,Up,Get,Wed Dec 11 20:29:36 2013
All,Up,Get,Wed Dec 11 20:29:38 2013
All,Up,Get,Sun Dec 15 05:11:08 2013
All,Up,Get,Mon Dec 16 09:27:41 2013
All,Up,Get,Fri Dec 20 01:31:11 2013
All,Up,Get,Sat Dec 21 00:05:34 2013
All,Up,Get,Wed Dec 25 22:18:25 2013
All,Up,Get,Thu Dec 26 04:48:38 2013
All,Up,Get,Fri Dec 27 02:31:30 2013
All,Up,Get,Sat Dec 28 02:41:33 2013
All,Up,Get,Sun Dec 29 03:53:46 2013
All,Up,Get,Tue Dec 31 02:57:48 2013
All,Up,Get,Sun Jan 05 02:54:10 2014
All,Up,Get,Mon Jan 06 03:37:50 2014
All,Up,Get,Mon Jan 06 09:20:10 2014
All,Up,Get,Tue Jan 07 01:45:52 2014
All,Up,Get,Tue Jan 07 01:47:34 2014
All,Up,Get,Tue Jan 07 17:58:05 2014
All,Up,Get,Wed Jan 08 11:41:14 2014
All,Up,Get,Thu Jan 09 02:30:10 2014
All,Up,Get,Thu Jan 09 02:44:50 2014
All,Up,Get,Thu Jan 09 11:17:43 2014
All,Down,Lab,Thu Jan 09 15:49:45 2014
All,Up,Lab,Thu Jan 09 16:16:49 2014
All,Up,Lab,Thu Jan 09 18:16:24 2014
All,Down,Get,Thu Jan 09 22:28:10 2014
All,Up,Get,Fri Jan 10 07:24:42 2014
All,Down,Lab,Fri Jan 10 15:06:52 2014
All,Up,Lab,Fri Jan 10 15:07:04 2014
All,Up,Lab,Fri Jan 10 20:44:45 2014
All,Down,Get,Fri Jan 10 23:31:12 2014
RoLC,Down,Get,Fri Jan 10 23:31:54 2014
All,Up,Get,Sun Jan 12 01:18:43 2014
All,Up,Get,Mon Jan 13 03:16:21 2014
All,Up,Get,Tue Jan 14 05:26:40 2014
All,Up,Get,Wed Jan 15 00:05:25 2014
All,Up,Get,Wed Jan 15 00:07:38 2014
All,Up,Get,Wed Jan 15 09:38:23 2014
All,Up,Lab,Wed Jan 15 20:19:32 2014
All,Up,Get,Fri Jan 17 02:57:19 2014
All,Up,Lab,Fri Jan 17 16:56:04 2014
All,Down,Lab,Fri Jan 17 16:56:12 2014
All,Up,Lab,Fri Jan 17 17:00:13 2014
All,Down,Get,Fri Jan 17 22:34:58 2014
config,Down,Pi,Sat Jan 18 12:58:45 JST 2014
All,Up,Get,Sun Jan 19 02:59:06 2014
All,Down,Lab,Mon Jan 20 13:57:11 2014
All,Up,Get,Mon Jan 20 14:11:45 2014
All,Down,Lab,Mon Jan 20 14:12:07 2014
All,Up,Lab,Mon Jan 20 17:11:36 2014
All,Up,Get,Tue Jan 21 01:39:17 2014
All,Down,Lab,Tue Jan 21 15:57:18 2014
All,Down,Get,Wed Jan 22 13:10:50 2014
All,Up,Get,Wed Jan 22 13:11:50 2014
All,Up,Get,Thu Jan 23 02:45:16 2014
All,Up,Get,Thu Jan 23 11:22:25 2014
All,Down,Lab,Thu Jan 23 16:25:54 2014
All,Up,Get,Fri Jan 24 03:04:19 2014
All,Up,Get,Sat Jan 25 02:25:51 2014
All,Up,Get,Mon Jan 27 03:09:24 2014
All,Up,Get,Tue Jan 28 01:02:35 2014
All,Down,Lab,Tue Jan 28 13:31:22 2014
All,Up,Lab,Tue Jan 28 16:22:19 2014
All,Down,Get,Tue Jan 28 23:27:06 2014
All,Up,Get,Wed Jan 29 11:52:23 2014
All,Up,Get,Thu Jan 30 02:41:29 2014
All,Up,Get,Fri Jan 31 02:35:58 2014
All,Down,Get,Fri Jan 31 23:34:44 2014
All,Up,Get,Sat Feb 01 01:44:09 2014
All,Up,Get,Sun Feb 02 10:43:32 2014
All,Up,Get,Mon Feb 03 02:32:55 2014
All,Up,Get,Mon Feb 03 09:58:52 2014
All,Down,Lab,Mon Feb 03 13:16:29 2014
All,Up,Get,Tue Feb 04 00:49:21 2014
All,Up,Get,Wed Feb 05 02:36:48 2014
All,Up,Get,Wed Feb 05 11:18:57 2014
All,Down,Get,Wed Feb 05 22:57:43 2014
All,Up,Get,Wed Feb 05 22:58:27 2014
All,Up,Get,Thu Feb 06 01:36:08 2014
All,Up,Get,Fri Feb 07 07:54:51 2014
All,Down,Lab,Fri Feb 07 14:33:53 2014
All,Up,Get,Sat Feb 08 00:15:44 2014
All,Up,Get,Sun Feb 09 02:39:05 2014
All,Up,Get,Mon Feb 10 02:05:52 2014
All,Down,Lab,Mon Feb 10 13:59:12 2014
All,Up,Get,Tue Feb 11 07:03:41 2014
All,Up,Get,Tue Feb 11 08:09:17 2014
All,Up,Get,Wed Feb 12 03:37:28 2014
All,Up,Get,Wed Feb 12 10:44:01 2014
All,Up,Get,Thu Feb 13 02:27:26 2014
All,Up,Get,Thu Feb 13 02:28:03 2014
All,Down,Lab,Thu Feb 13 13:33:05 2014
All,Up,Get,Fri Feb 14 02:40:08 2014
All,Up,Get,Sat Feb 15 19:01:36 2014
All,Down,Get,Sat Feb 15 21:23:57 2014
All,Down,Get,Sun Feb 16 23:00:59 2014
All,Down,Lab,Wed Feb 19 11:44:18 2014
All,Down,Lab,Wed Feb 19 11:47:03 2014
All,Down,Lab,Wed Feb 19 11:47:49 2014
All,Up,Get,Thu Feb 20 09:36:48 2014
All,Down,Lab,Thu Feb 20 10:40:47 2014
All,Up,Get,Fri Feb 21 07:59:01 2014
All,Up,Lab,Sat Feb 22 09:31:07 2014
All,Up,Lab,Sat Feb 22 10:11:05 2014
All,Up,Lab,Sat Feb 22 10:11:28 2014
All,Down,Get,Sun Feb 23 06:49:07 2014
All,Up,Get,Sun Feb 23 07:22:24 2014
All,Up,Get,Tue Feb 25 03:35:14 2014
All,Down,Lab,Tue Feb 25 12:26:45 2014
All,Down,Get,Wed Feb 26 00:45:36 2014
All,Down,Get,Wed Feb 26 00:47:14 2014
Ruinas,Down,Get,Wed Feb 26 00:49:22 2014
RoL,Down,Get,Wed Feb 26 00:49:25 2014
All,Down,Get,Wed Feb 26 00:53:33 2014
th135,Down,Get,Wed Feb 26 00:53:39 2014
th135,Up,Get,Wed Feb 26 00:54:01 2014
All,Up,Get,Wed Feb 26 01:00:24 2014
All,Up,Get,Wed Feb 26 08:07:16 2014
All,Down,Lab,Wed Feb 26 09:10:29 2014
All,Up,Lab,Thu Feb 27 00:01:03 2014
All,Down,Get,Thu Feb 27 00:01:35 2014
All,Up,Get,Fri Feb 28 08:07:55 2014
All,Up,Get,Sun Mar 02 05:51:21 2014
All,Up,Get,Mon Mar 03 01:26:15 2014
All,Up,Get,Mon Mar 03 12:06:03 2014
All,Down,Lab,Mon Mar 03 12:06:35 2014
All,Up,Get,Tue Mar 04 04:28:55 2014
All,Down,Get,Wed Mar 05 01:45:15 2014
All,Up,Get,Wed Mar 05 01:45:21 2014
All,Up,Get,Thu Mar 06 01:57:26 2014
All,Up,Get,Fri Mar 07 00:47:13 2014
All,Up,Get,Sun Mar 09 01:52:11 2014
All,Up,Get,Sun Mar 09 11:43:10 2014
All,Up,Get,Mon Mar 10 04:01:02 2014
All,Up,Get,Fri Mar 14 02:29:11 2014
All,Up,Get,Fri Mar 14 02:29:16 2014
All,Up,Get,Sat Mar 15 04:00:19 2014
All,Up,Get,Sun Mar 16 03:25:10 2014
All,Up,Get,Mon Mar 17 02:48:27 2014
All,Up,Get,Tue Mar 18 02:28:09 2014
All,Up,Get,Wed Mar 19 03:49:33 2014
All,Up,Get,Sat Mar 22 02:58:56 2014
All,Up,Get,Sun Mar 23 03:41:57 2014
All,Up,Get,Mon Mar 24 03:00:42 2014
All,Up,Get,Mon Mar 24 11:38:01 2014
All,Up,Get,Tue Mar 25 02:15:41 2014
All,Up,Get,Wed Mar 26 03:27:05 2014
All,Up,Get,Sat Mar 29 03:02:16 2014
All,Up,Get,Sun Mar 30 01:47:28 2014
All,Up,Get,Mon Mar 31 02:38:48 2014
All,Up,Get,Tue Apr 01 01:08:17 2014
All,Up,Get,Tue Apr 01 06:33:52 2014
All,Up,Get,Tue Apr 01 23:55:36 2014
All,Up,Get,Wed Apr 02 06:25:13 2014
All,Up,Get,Fri Apr 04 01:18:02 2014
All,Up,Get,Sun Apr 06 01:46:05 2014
All,Up,Get,Sun Apr 06 16:10:37 2014
All,Up,Get,Mon Apr 07 00:43:08 2014
All,Up,Get,Wed Apr 09 00:39:44 2014
All,Up,Get,Thu Apr 10 06:21:25 2014
All,Up,Get,Fri Apr 11 06:23:44 2014
All,Up,Get,Sat Apr 12 02:43:57 2014
All,Up,Get,Sun Apr 13 01:59:47 2014
All,Down,Get8,Sun Jul 27 11:21:51 2014
MGL,Down,Get8,Sun Jul 27 13:58:00 2014
jane,Down,Get8,Sun Aug 03 22:45:09 2014
jane,Down,Get8,Sun Aug 03 22:45:28 2014
config,Down,Get8,Mon Aug 04 00:27:13 2014
All,Down,Get8,Mon Aug 04 02:58:00 2014
All,Up,Get8,Mon Aug 04 03:03:54 2014
All,Up,Get8,Mon Aug 04 03:25:10 2014
All,Up,Get8,Mon Aug 04 23:53:27 2014
All,Up,Get8,Thu Aug 07 07:50:20 2014
elona,Up,Get8,Sat Aug 09 03:34:46 2014
All,Up,Get8,Sat Aug 09 04:36:57 2014
All,Up,Get8,Sun Aug 10 14:21:57 2014
All,Up,Get8,Mon Aug 11 01:33:24 2014
All,Up,Get8,Tue Aug 12 00:41:44 2014
All,Up,Get8,Thu Aug 14 11:10:15 2014
All,Up,Get8,Mon Aug 18 07:39:45 2014
All,Up,Get8,Tue Aug 19 07:45:05 2014
All,Up,Get8,Wed Aug 20 01:05:16 2014
All,Up,Get8,Thu Aug 21 01:05:11 2014
All,Up,Get8,Fri Aug 22 00:49:24 2014
All,Up,Get8,Fri Aug 22 07:47:02 2014
All,Up,Get8,Sat Aug 23 21:26:08 2014
All,Up,Get8,Sun Aug 24 02:04:58 2014
All,Up,Get8,Sun Aug 24 16:28:24 2014
All,Up,Get8,Mon Aug 25 00:59:30 2014
All,Up,Get8,Tue Aug 26 00:43:51 2014
All,Up,Get8,Fri Aug 29 01:01:56 2014
All,Up,Get8,Sun Aug 31 05:48:44 2014
All,Up,Get8,Sun Aug 31 16:11:08 2014
All,Up,Get8,Mon Sep 01 02:09:31 2014
All,Up,Get8,Fri Sep 05 00:10:07 2014
All,Up,Get8,Sat Sep 06 03:02:35 2014
PDLO,Up,Get8,Sat Sep 06 14:51:09 2014
All,Up,Get8,Sat Sep 06 14:51:20 2014
All,Up,Get8,Tue Sep 09 03:06:48 2014
All,Up,Get8,Thu Sep 11 00:22:10 2014
All,Up,Get8,Sat Sep 13 09:30:41 2014
All,Up,Get8,Thu Sep 18 00:33:44 2014
mine,Down,Get8,Thu Sep 18 23:29:15 2014
Minecraft,Down,Get8,Thu Sep 18 23:30:13 2014
All,Up,Get8,Sat Sep 20 07:41:30 2014
All,Up,Get8,Mon Sep 22 01:20:40 2014
All,Up,Get8,Wed Sep 24 14:44:16 2014
All,Up,Get8,Thu Sep 25 00:12:43 2014
All,Up,Get8,Thu Sep 25 07:39:40 2014
All,Up,Get8,Fri Sep 26 01:43:21 2014
All,Up,Get8,Sun Sep 28 01:57:38 2014
All,Up,Get8,Mon Sep 29 02:10:58 2014
All,Up,Get8,Tue Sep 30 00:50:14 2014
All,Up,Get8,Tue Oct 07 01:38:14 2014
katamichi,Down,Get8,Mon Oct 20 01:07:44 2014
All,Up,Get8,Tue Oct 21 00:50:43 2014
All,Up,Get8,Wed Oct 22 07:40:52 2014
All,Up,Get8,Thu Oct 23 00:10:17 2014
All,Up,Get8,Fri Oct 24 01:04:24 2014
All,Up,Get8,Fri Oct 24 07:41:41 2014
All,Up,Get8,Fri Oct 24 14:48:28 2014
All,Up,Get8,Sun Oct 26 08:29:09 2014
All,Up,Get8,Tue Oct 28 01:45:22 2014
All,Up,Get8,Tue Oct 28 07:50:45 2014
All,Up,Get8,Thu Oct 30 01:24:13 2014
All,Up,Get8,Thu Oct 30 01:28:12 2014
All,Up,Get8,Thu Oct 30 01:42:48 2014
All,Up,Get8,Fri Oct 31 02:54:46 2014
All,Up,Get8,Fri Oct 31 07:43:01 2014
All,Up,Get8,Sat Nov 01 00:49:08 2014
All,Up,Get8,Tue Nov 04 03:29:38 2014
All,Up,Get8,Tue Nov 04 07:46:02 2014
All,Up,Get8,Wed Nov 05 01:19:27 2014
All,Up,Get8,Wed Nov 05 07:39:57 2014
All,Up,Get8,Thu Nov 06 01:25:48 2014
All,Up,Get8,Fri Nov 07 01:58:01 2014
All,Up,Get8,Fri Nov 07 07:49:52 2014
All,Up,Get8,Sat Nov 08 02:22:10 2014
All,Up,Get8,Sun Nov 09 13:47:20 2014
All,Up,Get8,Mon Nov 10 01:19:39 2014
All,Up,Get8,Mon Nov 10 07:42:37 2014
All,Up,Get8,Tue Nov 11 01:45:03 2014
All,Up,Get8,Tue Nov 11 07:41:44 2014
All,Up,Get8,Wed Nov 12 01:05:43 2014
All,Up,Get8,Wed Nov 12 01:42:57 2014
All,Up,Get8,Wed Nov 12 07:43:21 2014
All,Up,Get8,Fri Nov 14 07:41:16 2014
All,Up,Get8,Sat Nov 15 01:26:39 2014
All,Up,Get8,Sat Nov 15 08:05:18 2014
All,Up,Get8,Sun Nov 16 16:53:16 2014
All,Up,Get8,Mon Nov 17 00:43:11 2014
All,Up,Get8,Mon Nov 17 07:45:51 2014
All,Up,Get8,Tue Nov 18 01:52:52 2014
All,Up,Get8,Tue Nov 18 07:44:03 2014
All,Up,Get8,Wed Nov 19 01:03:25 2014
All,Up,Get8,Wed Nov 19 07:44:41 2014
All,Up,Get8,Wed Nov 19 07:44:44 2014
All,Up,Get8,Thu Nov 20 07:44:53 2014
All,Up,Get8,Fri Nov 21 07:50:09 2014
All,Up,Get8,Sat Nov 22 01:01:38 2014
All,Up,Get8,Sat Nov 22 14:34:03 2014
All,Up,Get8,Mon Nov 24 01:09:20 2014
All,Up,Get8,Mon Nov 24 07:46:11 2014
All,Up,Get8,Tue Nov 25 07:48:06 2014
All,Up,Get8,Wed Nov 26 10:23:09 2014
All,Up,Get8,Wed Nov 26 15:38:18 2014
All,Up,Get8,Thu Nov 27 02:42:26 2014
All,Up,Get8,Thu Nov 27 13:11:01 2014
All,Up,Get8,Fri Nov 28 00:33:41 2014
All,Up,Get8,Fri Nov 28 07:38:08 2014
All,Up,Get8,Sat Nov 29 01:51:58 2014
All,Up,Get8,Sat Nov 29 07:41:00 2014
All,Up,Get8,Sun Nov 30 01:19:55 2014
All,Up,Get8,Sun Nov 30 07:38:04 2014
All,Up,Get8,Sun Nov 30 07:40:31 2014
All,Up,Get8,Mon Dec 01 00:57:18 2014
All,Up,Get8,Tue Dec 02 02:08:17 2014
All,Up,Get8,Tue Dec 02 07:32:31 2014
All,Up,Get8,Wed Dec 03 00:55:01 2014
All,Down,Get8,Wed Dec 03 00:55:20 2014
